Название песни + исполнитель ,Отзыв,Ссылки,Depeche Mode Songs,Отзыв
Pet Shop Boys - What have i done to deserve this,"Ох уже эти мальчики хаха, до написания этого отзыва песня слушалась раз 200, так что думаю это показатель)",https://www.youtube.com/watch?v=Wn9E5i7l-Eg,,
ERASURE - Oh L'Amour,Они немного напомнили мне депеш мод) ,https://www.youtube.com/watch?v=VEkhsxIFK7g,,
Erasure - Always,"Да да дааа, ты когда нибудь слушал ее на заднем плане? Она мне тебя напомнила, а значит мне очень нравится.",https://youtu.be/lWqJTKdznaM,,
The Heights - How do you talk to an angel,"Такие слова эххх) Не нужно мне такое романтичное слушать, сердце болит хех",https://www.youtube.com/watch?v=csATriX8Ed0,,
Heart - What about love?,"Хочу слушать такое постоянно, она вызывает мурашки, а вокал так вообще",https://youtu.be/KE5GGMhmo-M?list=RDyMzyleT2FqY,,
Tears for fears - Head over heels,"Скажи честно, ты в клипе снимался? С книгами)) А сама песня очень знакомая",https://youtu.be/CsHiG-43Fzg?list=RDyMzyleT2FqY,,
Soundgarden - Black hole sun,"Моя новая маленькая любовь. Да что тут говорить, ее Тася тоже любит. ",https://youtu.be/3mbBbFH9fAg,,
The Kelly Family - Fell in love with an alien,"Я раньше слушала эту песню. Сейчас не так часто, но она безумно красивая и чувственная ",https://www.youtube.com/watch?v=diCf5Sep5Fo,,
Shakespears Sister - Stay,ой мамочки...( она моя) ,https://youtu.be/yp9ROv7o_mQ,,
Peter Gabriel - Don't give up,"Я люблю, когда поет и мужчина, и женщина. Тогда песня становиться очень чувственное и нежной. Когда в один миг грубый мужской голос, а в другой женский",https://youtu.be/VjEq-r2agqc,,
Annie Lennox - Why,Закрываю глаза и наслаждаюсь,https://youtu.be/HG7I4oniOyA,,
Eric Carmen - Hungry Eyes ,Хочу смотреть таким же взглядом)) Можно же? ,https://www.youtube.com/watch?v=2ssCL292DQA,,
Roxy Music - More than this ,"Пересмотреть бы. как говорят right person, wrong time. Так написала женщина в комментариях. А мне кажется время как раз подходящее)",https://www.youtube.com/watch?v=bjvVNyBTSP8,,
Pet Shop Boys - Can you forgive her?,"Мне нравится эта группа) Но не все песни, это неплохая, но не часто",https://www.youtube.com/watch?v=Me4AhOi6LYE,,
